State,Participation,Composite
Alabama,100%,18.7
Alaska,16%,20.6
Arizona,35%,19.8
Arkansas,99%,19
California,5%,26.1
Colorado,16%,23.6
Connecticut,9%,27.2
Delaware,5%,25.7
District of Columbia,19%,25.6
Florida,34%,20.4
Georgia,24%,22.6
Hawaii,67%,18.2
Idaho,16%,23
Illinois,19%,25.2
Indiana,14%,23.1
Iowa,47%,21.5
Kansas,79%,19.9
Kentucky,100%,19.2
Louisiana,98%,18.4
Maine,2%,25.6
Maryland,8%,25.5
Massachusetts,7%,27.6
Michigan,9%,25.1
Minnesota,60%,21.6
Mississippi,100%,18.1
Missouri,63%,20.6
Montana,70%,20.4
Nebraska,86%,20
Nevada,100%,17.8
New Hampshire,4%,26.6
New Jersey,12%,25.1
New Mexico,23%,20.7
New York,9%,26.3
North Carolina,92%,18.9
North Dakota,100%,19.6
Ohio,85%,19.6
Oklahoma,58%,19.7
Oregon,20%,20.6
Pennsylvania,7%,25
Rhode Island,4%,25.8
South Carolina,50%,18.6
South Dakota,55%,21.6
Tennessee,100%,19.1
Texas,23%,20.1
Utah,86%,20.6
Vermont,4%,24.7
Virginia,9%,25.5
Washington,7%,23.6
West Virginia,30%,20.8
Wisconsin,96%,20
Wyoming,91%,19.8
National,35%,20.3
