,id,ms_subclass,neighborhood,overall_qual,year_remod/add,exterior_1st,exterior_2nd,mas_vnr_area,exter_qual,foundation,bsmtfin_type_1,bsmtfin_sf_1,heating_qc,1st_flr_sf,gr_liv_area,full_bath,kitchen_qual,fireplaces,garage_finish,garage_area,garage_qual,saleprice,age_sold
0,109,60,Sawyer,6,2005,HdBoard,Plywood,289.0,4,CBlock,GLQ,533.0,5,725,1479,2,4,0,RFn,475.0,3.0,130500,34
1,544,60,SawyerW,7,1997,VinylSd,VinylSd,132.0,4,PConc,GLQ,637.0,5,913,2122,2,4,1,RFn,559.0,3.0,220000,13
2,153,20,NAmes,5,2007,VinylSd,VinylSd,0.0,3,CBlock,GLQ,731.0,3,1057,1057,1,4,0,Unf,246.0,3.0,109000,57
3,318,60,Timber,5,2007,VinylSd,VinylSd,0.0,3,PConc,Unf,0.0,4,744,1444,2,3,0,Fin,400.0,3.0,174000,4
4,255,50,SawyerW,6,1993,Wd Sdng,Plywood,0.0,3,PConc,Unf,0.0,3,831,1445,2,3,0,Unf,484.0,3.0,138500,110
5,138,20,NAmes,6,2002,BrkFace,Plywood,0.0,4,CBlock,ALQ,247.0,5,1888,1888,2,4,1,Fin,578.0,3.0,190000,44
6,2827,180,Edwards,6,2006,VinylSd,VinylSd,82.0,3,PConc,GLQ,547.0,4,1072,1072,2,3,0,Fin,525.0,3.0,140000,1
7,145,20,NAmes,5,1959,Plywood,Plywood,180.0,3,CBlock,Rec,1000.0,2,1188,1188,1,3,0,RFn,531.0,3.0,142000,51
8,1942,20,OldTown,5,1952,Wd Sdng,Wd Sdng,0.0,3,CBlock,Rec,292.0,3,924,924,1,3,0,Unf,420.0,3.0,112500,55
9,1956,60,NAmes,5,1969,Plywood,Plywood,192.0,3,PConc,Rec,650.0,3,1040,2080,1,2,2,Unf,504.0,3.0,135000,38
10,1044,160,BrDale,6,1971,HdBoard,HdBoard,232.0,3,CBlock,ALQ,387.0,3,483,987,1,3,0,Unf,264.0,3.0,85400,37
11,2752,20,CollgCr,7,2005,VinylSd,VinylSd,0.0,4,PConc,GLQ,393.0,5,1208,1208,2,4,0,RFn,632.0,3.0,183600,1
12,807,70,SawyerW,5,2007,HdBoard,HdBoard,0.0,4,PConc,None,0.0,5,1288,2016,1,3,1,Unf,576.0,3.0,131000,129
13,1177,160,Somerst,8,2000,MetalSd,MetalSd,456.0,4,PConc,GLQ,813.0,5,962,1607,2,4,0,Unf,480.0,3.0,200000,9
14,1480,20,CollgCr,7,2007,VinylSd,VinylSd,0.0,4,PConc,GLQ,24.0,5,1361,1361,2,4,0,RFn,610.0,3.0,193000,1
15,324,20,Mitchel,5,2005,VinylSd,VinylSd,0.0,3,PConc,Unf,0.0,5,1430,1430,2,4,0,RFn,624.0,3.0,173500,6
16,1311,70,OldTown,5,1950,AsbShng,AsbShng,0.0,3,BrkTil,Unf,0.0,2,624,1344,1,3,0,Unf,513.0,2.0,98000,92
17,770,20,Sawyer,5,1963,VinylSd,VinylSd,0.0,3,PConc,Rec,651.0,3,1121,1121,1,3,0,Unf,480.0,3.0,139000,46
18,2063,20,Sawyer,6,1977,Plywood,Plywood,148.0,3,CBlock,Unf,0.0,5,1285,1285,1,3,1,RFn,528.0,3.0,143500,30
19,69,60,Somerst,7,2009,VinylSd,VinylSd,0.0,3,PConc,GLQ,24.0,5,764,1547,2,4,0,Unf,614.0,3.0,215200,1
20,2062,20,Sawyer,5,1968,VinylSd,VinylSd,0.0,3,CBlock,BLQ,492.0,4,894,894,1,3,1,Fin,450.0,3.0,129000,39
21,351,120,StoneBr,8,2000,CemntBd,CmentBd,0.0,4,PConc,GLQ,1158.0,5,1659,1659,2,5,1,Fin,499.0,3.0,278000,9
22,2393,60,NridgHt,8,2006,CemntBd,CmentBd,0.0,4,PConc,Unf,0.0,5,1209,2253,2,5,1,Fin,575.0,3.0,344133,1
23,12,20,Gilbert,6,2007,HdBoard,HdBoard,0.0,3,PConc,ALQ,935.0,5,1187,1187,2,3,0,Fin,420.0,3.0,185000,18
24,2339,190,Gilbert,5,1955,Wd Sdng,Wd Sdng,0.0,3,CBlock,Rec,1056.0,3,1056,1056,1,3,0,Fin,572.0,3.0,145000,51
25,624,20,NAmes,6,1961,MetalSd,MetalSd,3.0,3,CBlock,Rec,1312.0,5,1453,1453,2,3,1,RFn,530.0,3.0,187500,48
26,86,20,Sawyer,5,2009,MetalSd,MetalSd,0.0,3,CBlock,GLQ,553.0,5,894,894,1,3,1,Unf,336.0,3.0,138500,45
27,1534,50,Crawfor,5,1995,WdShing,Wd Shng,0.0,3,CBlock,BLQ,606.0,5,1265,1938,2,4,1,Unf,240.0,3.0,198000,71
28,2243,190,IDOTRR,5,2006,VinylSd,VinylSd,0.0,3,CBlock,Unf,0.0,2,1034,1991,2,3,0,None,0.0,0.0,119600,112
